Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
01_1A3 | snp_1A3_all	dnaseq/D20-160001-4500T/snippy_1A3_all/snp_1A3_all.bam	821779.0	818317.0	139663751.0	139656387.0	444.6683	158.0	58.5055	0.003	29.0857	99.57871885263556
02_DE | snp_DE_all	dnaseq/D20-160002-4500T/snippy_DE_all/snp_DE_all.bam	752769.0	741707.0	127670373.0	127663976.0	399.7055	160.0	58.9807	0.0052	28.4919	98.53049208987086
03_MIT9313 | snp_MIT9313_all	dnaseq/D20-160003-4500T/snippy_MIT9313_all/snp_MIT9313_all.bam	550420.0	544213.0	71607387.0	71605861.0	145.809	116.0	59.2223	0.0021	29.7018	98.87231568620327
04_MIT0604 | snp_MIT0604_all	dnaseq/D20-160004-4500T/snippy_MIT0604_all/snp_MIT0604_all.bam	537173.0	366615.0	64460833.0	64458770.0	226.9256	165.0	58.7886	0.0019	36.2127	68.24896262470376
04_Maricaulis | snp_Maricaulis_filtered	dnaseq/D20-160004-4500T/snippy_Maricaulis_filtered/snp_Maricaulis_filtered.bam	163701.0	404.0	60724.0	60623.0	152.0299	149.0	17.8116	0.1137	0.018	0.24679140628340696
05_1A3 | snp_1A3_filtered	dnaseq/D20-160005-4500T/snippy_1A3_filtered/snp_1A3_filtered.bam	632514.0	606082.0	102657844.0	102655701.0	307.3158	160.0	58.8234	0.0029	22.0633	95.82112016492916
05_MIT9313 | snp_MIT9313_filtered	dnaseq/D20-160005-4500T/snippy_MIT9313_filtered/snp_MIT9313_filtered.bam	120696.0	96291.0	13774803.0	13774398.0	224.1862	128.0	59.3007	0.0031	5.7136	79.7797772917081
06_1A3 | snp_1A3_filtered	dnaseq/D20-160006-4500T/snippy_1A3_filtered/snp_1A3_filtered.bam	261903.0	251977.0	42006918.0	42005916.0	299.8541	156.0	58.8015	0.0028	9.0282	96.21004723122682
06_MIT9313 | snp_MIT9313_filtered	dnaseq/D20-160006-4500T/snippy_MIT9313_filtered/snp_MIT9313_filtered.bam	547148.0	535915.0	90889283.0	90887194.0	249.6872	159.0	59.3232	0.0029	37.6997	97.94699057658988
07_1A3 | snp_1A3_filtered	dnaseq/D20-160007-4500T/snippy_1A3_filtered/snp_1A3_filtered.bam	586593.0	561363.0	95236162.0	95234411.0	296.9024	159.0	58.8082	0.0025	20.4682	95.6988917358373
